keyword,cluster,subcluster,source_status,search_volume,keyword_difficulty,intent,CPC,SERP_features,notes
Google Unternehmensprofil optimieren,SEO,SEO,RECOVERED_DISCUSSION_TERM,,,,,,Local-intent / Google Business Profile adjacent
lokale Suche,Local SEO / lokale Suche,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #12 ('Local SEO / lokale Suche') — the 'lokale Suche' half; the 'Local SEO' half is recorded under the SEO cluster to avoid duplicating an identical string
Webdesign,Webdesign,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #8
Webdesign Ansbach,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
Webdesign Agentur,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,
Website erstellen lassen,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Judgment call: generic 'website' term mapped to Webdesign cluster
Website Agentur Ansbach,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific; judgment call: mapped to Webdesign cluster
professionelle Website,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Judgment call: generic 'website' term mapped to Webdesign cluster
Unternehmenswebsite erstellen,Webdesign,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Judgment call: generic 'website' term mapped to Webdesign cluster
Webentwicklung,Webentwicklung,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #9
Webentwicklung Ansbach,Webentwicklung,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,Local/Ansbach-specific
Webentwicklung Agentur,Webentwicklung,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,
Website Entwicklung,Webentwicklung,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,
individuelle Webentwicklung,Webentwicklung,Webdesign / development,RECOVERED_DISCUSSION_TERM,,,,,,
Automation,Automation,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,"Original theme #10 — standalone/generic automation term, kept distinct from the KI-Automatisierung cluster since the original theme list separated them"
Leadgenerierung,Leadgenerierung,Lead generation,RECOVERED_DISCUSSION_TERM,,,,,,Also original theme #11 (theme list and discussed-term list both named this exact term)
Leads generieren,Leadgenerierung,Lead generation,RECOVERED_DISCUSSION_TERM,,,,,,
B2B Leadgenerierung,Leadgenerierung,Lead generation,RECOVERED_DISCUSSION_TERM,,,,,,
automatisierte Leadgenerierung,Leadgenerierung,Lead generation,RECOVERED_DISCUSSION_TERM,,,,,,
KI Leadgenerierung,Leadgenerierung,Lead generation,RECOVERED_DISCUSSION_TERM,,,,,,
E-Commerce,E-Commerce,Original theme list,RECOVERED_DISCUSSION_TERM,,,,,,Original theme #13
E-Commerce Agentur,E-Commerce,E-commerce,RECOVERED_DISCUSSION_TERM,,,,,,
E-Commerce Automatisierung,E-Commerce,E-commerce,RECOVERED_DISCUSSION_TERM,,,,,,
KI E-Commerce,E-Commerce,E-commerce,RECOVERED_DISCUSSION_TERM,,,,,,
Online Shop Agentur,E-Commerce,E-commerce,RECOVERED_DISCUSSION_TERM,,,,,,
Shop Automatisierung,E-Commerce,E-commerce,RECOVERED_DISCUSSION_TERM,,,,,,
Social Media Agentur,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
Social Media Marketing Ansbach,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"Local/Ansbach-specific. This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
Social Media Automatisierung,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
KI Social Media,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
Social Media Content erstellen,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
KI Content erstellen,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
KI Texte erstellen,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
Content Marketing Agentur,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
KI Content Marketing,Social & Content,Social/content,RECOVERED_DISCUSSION_TERM,,,,,,"This cluster was not among the original 13 theme names — it only appears in the discussed-term list, so treat it as a lower-confidence recovered grouping"
