keyword,cluster,seed_term,intent,search_volume,keyword_difficulty,CPC_USD,SERP_features,notes,source_status
agentur webdesign,Webdesign,Webdesign Agentur,C,2400,50,5.33,5,,REAL_SEMRUSH_DATA
agentur für webdesign,Webdesign,Webdesign Agentur,I,1900,54,5.75,10,,REAL_SEMRUSH_DATA
webdesign agentur berlin,Webdesign,Webdesign Agentur,C,1900,49,4.79,3,city-specific: Berlin (not Ansbach),REAL_SEMRUSH_DATA
webdesign agenturen,Webdesign,Webdesign Agentur,C,1300,50,5.33,7,plural form,REAL_SEMRUSH_DATA
webentwicklung agentur,Webentwicklung,Webentwicklung Agentur,C,1900,31,8.91,3,,REAL_SEMRUSH_DATA
agentur für webentwicklung,Webentwicklung,Webentwicklung Agentur,C,1300,35,7.68,5,,REAL_SEMRUSH_DATA
agentur webentwicklung,Webentwicklung,Webentwicklung Agentur,C,720,35,7.68,3,,REAL_SEMRUSH_DATA
webentwickler agentur,Webentwicklung,Webentwicklung Agentur,C,390,34,9.11,3,,REAL_SEMRUSH_DATA
webentwicklung agentur berlin,Webentwicklung,Webentwicklung Agentur,C,140,39,0.0,3,city-specific: Berlin (not Ansbach),REAL_SEMRUSH_DATA
leadgenerierung,Leadgenerierung,Leadgenerierung,I,1900,42,5.81,6,,REAL_SEMRUSH_DATA
b2b leadgenerierung,Leadgenerierung,Leadgenerierung,I,880,19,15.55,6,,REAL_SEMRUSH_DATA
leadgenerierung agentur,Leadgenerierung,Leadgenerierung,I,880,12,7.01,5,,REAL_SEMRUSH_DATA
b2b leadgenerierung agentur,Leadgenerierung,Leadgenerierung,I,480,17,15.09,4,,REAL_SEMRUSH_DATA
leadgenerierung b2b,Leadgenerierung,Leadgenerierung,I,480,18,13.14,6,,REAL_SEMRUSH_DATA
e-commerce agentur,E-Commerce,E-Commerce Agentur,C,1900,25,14.52,5,,REAL_SEMRUSH_DATA
e commerce agentur,E-Commerce,E-Commerce Agentur,C,1600,18,15.6,5,spacing variant,REAL_SEMRUSH_DATA
agentur e commerce,E-Commerce,E-Commerce Agentur,C,480,16,19.94,6,,REAL_SEMRUSH_DATA
e commerce agenturen,E-Commerce,E-Commerce Agentur,C,390,26,15.6,5,"plural, spacing variant",REAL_SEMRUSH_DATA
e-commerce agenturen,E-Commerce,E-Commerce Agentur,C,390,27,13.39,7,"plural, hyphenated variant",REAL_SEMRUSH_DATA
agentur für e commerce,E-Commerce,E-Commerce Agentur,T,260,25,0.0,6,,REAL_SEMRUSH_DATA
social media agentur,Social & Content,Social Media Agentur,C,6600,57,5.06,5,,REAL_SEMRUSH_DATA
social media marketing agentur,Social & Content,Social Media Agentur,C,2400,58,5.76,7,,REAL_SEMRUSH_DATA
agentur social media,Social & Content,Social Media Agentur,C,1000,55,4.83,7,,REAL_SEMRUSH_DATA
social media agentur hamburg,Social & Content,Social Media Agentur,C,1000,21,4.89,5,city-specific: Hamburg (not Ansbach),REAL_SEMRUSH_DATA
ki content erstellung,Social & Content,KI Content erstellen,I,320,11,2.71,6,,REAL_SEMRUSH_DATA
content erstellung mit ki,Social & Content,KI Content erstellen,I,90,13,2.9,5,,REAL_SEMRUSH_DATA
ki content erstellen,Social & Content,KI Content erstellen,,50,,2.03,,KD/SF not shown by tool (low-volume long tail),REAL_SEMRUSH_DATA
content erstellen mit ki,Social & Content,KI Content erstellen,,40,,2.83,,KD/SF not shown by tool (low-volume long tail),REAL_SEMRUSH_DATA
content erstellen ki,Social & Content,KI Content erstellen,,40,,0.0,,KD/SF not shown by tool (low-volume long tail),REAL_SEMRUSH_DATA
ki automatisierung agentur,KI-Automatisierung,Automatisierung Agentur,C,260,18,8.22,4,,REAL_SEMRUSH_DATA
automatisierung agentur münster,KI-Automatisierung,Automatisierung Agentur,I,210,11,0.0,3,city-specific: Münster (not Ansbach),REAL_SEMRUSH_DATA
ki automatisierung agentur münster,KI-Automatisierung,Automatisierung Agentur,I,170,0,0.0,3,city-specific: Münster (not Ansbach),REAL_SEMRUSH_DATA
automatisierung agentur,KI-Automatisierung,Automatisierung Agentur,I,140,21,4.6,6,,REAL_SEMRUSH_DATA
lokale seo agentur,Local SEO / lokale Suche,lokale SEO Agentur,I,320,27,0.0,7,,REAL_SEMRUSH_DATA
agentur für lokales seo,Local SEO / lokale Suche,lokale SEO Agentur,,70,,0.0,,KD/SF not shown by tool,REAL_SEMRUSH_DATA
lokal seo agentur,Local SEO / lokale Suche,lokale SEO Agentur,,50,,7.75,,KD/SF not shown by tool,REAL_SEMRUSH_DATA
lokale seo agentur köln,Local SEO / lokale Suche,lokale SEO Agentur,,50,,0.0,,city-specific: Köln (not Ansbach); KD/SF not shown,REAL_SEMRUSH_DATA
seo agentur für lokale suchmaschinenoptimierung,Local SEO / lokale Suche,lokale SEO Agentur,,40,,0.0,,KD/SF not shown by tool,REAL_SEMRUSH_DATA
