priority_rank,cluster,keyword,source_status,search_volume,keyword_difficulty,intent,CPC_USD,SERP_features,target_page,notes
5,KI-Automatisierung,KI-Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,KI Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,KI Automation,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,KI Automatisierung Unternehmen,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Prozesse mit KI automatisieren,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Geschäftsprozesse automatisieren,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Workflow Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Unternehmensprozesse automatisieren,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Geschäftsautomatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,
5,KI-Automatisierung,Automation,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/erstellen,"original theme, generic term"
5,KI-Automatisierung,ki automatisierung ansbach,NEW_GENERATED,,,,,,/ki-agenten/erstellen,Local-intent gap: no Ansbach term recovered or measured for this cluster; not measured
6,Leadgenerierung,leadgenerierung,REAL_SEMRUSH_DATA,1900,42,I,5.81,6,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,b2b leadgenerierung,REAL_SEMRUSH_DATA,880,19,I,15.55,6,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,leadgenerierung agentur,REAL_SEMRUSH_DATA,880,12,I,7.01,5,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,b2b leadgenerierung agentur,REAL_SEMRUSH_DATA,480,17,I,15.09,4,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,leadgenerierung b2b,REAL_SEMRUSH_DATA,480,18,I,13.14,6,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,Leads generieren,RECOVERED_DISCUSSION_TERM,,,,,,GAP — no dedicated page; see strategy doc,
6,Leadgenerierung,automatisierte Leadgenerierung,RECOVERED_DISCUSSION_TERM,,,,,,GAP — no dedicated page; see strategy doc,overlaps KI-Automatisierung
6,Leadgenerierung,KI Leadgenerierung,RECOVERED_DISCUSSION_TERM,,,,,,GAP — no dedicated page; see strategy doc,overlaps KI-Agenten
6,Leadgenerierung,leadgenerierung ansbach,NEW_GENERATED,,,,,,GAP — no dedicated page; see strategy doc,Local-intent gap: no Ansbach term recovered or measured for this cluster; not measured
7,E-Commerce,e-commerce agentur,REAL_SEMRUSH_DATA,1900,25,C,14.52,5,/e-commerce,
7,E-Commerce,e commerce agentur,REAL_SEMRUSH_DATA,1600,18,C,15.6,5,/e-commerce,spacing variant
7,E-Commerce,agentur e commerce,REAL_SEMRUSH_DATA,480,16,C,19.94,6,/e-commerce,
7,E-Commerce,e commerce agenturen,REAL_SEMRUSH_DATA,390,26,C,15.6,5,/e-commerce,"plural, spacing variant"
7,E-Commerce,e-commerce agenturen,REAL_SEMRUSH_DATA,390,27,C,13.39,7,/e-commerce,"plural, hyphenated variant"
7,E-Commerce,agentur für e commerce,REAL_SEMRUSH_DATA,260,25,T,0.0,6,/e-commerce,
7,E-Commerce,E-Commerce,RECOVERED_DISCUSSION_TERM,,,,,,/e-commerce,original theme
7,E-Commerce,E-Commerce Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/e-commerce,overlaps KI-Automatisierung
7,E-Commerce,KI E-Commerce,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/e-commerce,overlaps KI-Agenten
7,E-Commerce,Online Shop Agentur,RECOVERED_DISCUSSION_TERM,,,,,,/e-commerce,
7,E-Commerce,Shop Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/ki-agenten/e-commerce,
7,E-Commerce,e-commerce agentur ansbach,NEW_GENERATED,,,,,,/e-commerce,Local-intent gap: no Ansbach term recovered or measured for this cluster; not measured
8,Social & Content,social media agentur,REAL_SEMRUSH_DATA,6600,57,C,5.06,5,/loesungen/content-creation,
8,Social & Content,social media marketing agentur,REAL_SEMRUSH_DATA,2400,58,C,5.76,7,/loesungen/content-creation,
8,Social & Content,agentur social media,REAL_SEMRUSH_DATA,1000,55,C,4.83,7,/loesungen/content-creation,
8,Social & Content,social media agentur hamburg,REAL_SEMRUSH_DATA,1000,21,C,4.89,5,/loesungen/content-creation,competitive intelligence only — Hamburg
8,Social & Content,ki content erstellung,REAL_SEMRUSH_DATA,320,11,I,2.71,6,/loesungen/content-creation,
8,Social & Content,content erstellung mit ki,REAL_SEMRUSH_DATA,90,13,I,2.9,5,/loesungen/content-creation,
8,Social & Content,ki content erstellen,REAL_SEMRUSH_DATA,50,,,2.03,,/loesungen/content-creation,
8,Social & Content,content erstellen mit ki,REAL_SEMRUSH_DATA,40,,,2.83,,/loesungen/content-creation,
8,Social & Content,content erstellen ki,REAL_SEMRUSH_DATA,40,,,0.0,,/loesungen/content-creation,
8,Social & Content,Social Media Marketing Ansbach,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,local/Ansbach-specific
8,Social & Content,Social Media Automatisierung,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
8,Social & Content,KI Social Media,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
8,Social & Content,Social Media Content erstellen,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
8,Social & Content,KI Texte erstellen,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
8,Social & Content,Content Marketing Agentur,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
8,Social & Content,KI Content Marketing,RECOVERED_DISCUSSION_TERM,,,,,,/loesungen/content-creation,
